comment_Text,Have_ValueViolation
This software is bad; why can't Amazon at least provide the authentic Snapchat rather than fake versions that don't function? I couldn't even log in.,Yes
"Don't download this app, please. It is wasteful. Just give us the genuine Snapchat, not this nonsense, Amazon.",Yes
"I swear I'd rather spend my entire birthday budget on a phone so I can use SnapChat, download this, throw it out the window, and scream ""F U, Amazon!"" IT'S A WASTE is inoperative: ( I'm very hurt and disappointed. Why must you provide us with a subpar off-brand version, Amazon? We seek the actual thing.",Yes
"Without the real Snapchat, this app is completely useless. It's time for the app store offered to Kindle users to keep up with the times and include apps like SnapChat, Instagram, and other popular ones rather than outdated obscure ones that receive fewer than five downloads annually. I am becoming increasingly irritated and angry as a kindle user with the garbage that is being sent to me in place of the actual apps. Please stop denying us what our devoted users truly want and stop distributing complete BULLLL like this software. I'm grateful.",Yes
"Come on, we knew they had nothing, but now since it doesn't work, why can't we just do something enjoyable? A few of us maintain social lives.",Yes
"Nobody will download this app because it doesn't work, so I'll simply keep using my iPhone 5, which is much, much better. Amazon FAILS.",Yes
Why are the apps on this tablet so outdated? acquire the genuine apps This app is terrible; do not purchase it.,Yes
"It's awful. Why can't Amazon just give us Snapchat instead of these stupid, ineffective knockoffs? I'm really growing sick of Amazon. The same is true for Instagram. All of us are growing weary of this Amazon. Fix it",Yes
You are unable to access your Snap Chat account since this does not operate at all.,Yes
Even Snapchat isn't it. Yo can't create an account either.,Yes
"Cheap and disgusting, straight to the trash, money wasted",Yes
"There are no usage instructions, the app didn't start, and the screen is blank. This is a waste of time.",Yes
"Because you can't even chat, it is useless. Snap Chat is incorrect, as it was said, but students in my class have it.",Yes
"I was unable to send texts, unfortunately. wouldn't download my contacts in my personal capacity",Yes
"Refuses to labor was marked as a very unsafe program to use, therefore I removed it right away. suggest to no one.",Yes
"Since I don't yet have a phone, this stupidity doesn't work, so my mother downloaded it, however it reports that the text was not received. UGHH.",Yes
"Don't get this app because it doesn't work; it just says ""Text not sent.""",Yes
"Junk. because it uses Google's infrastructure and wants unrestricted access to my email and Google accounts, I don't need the app.",Yes
"1. The game has become unplayable and has made it impossible to save all of your progress. 2. Desire more opportunities to use or acquire gems for gaming 3. Desire additional support for level completion. 4. Customer service is effective, but if more than three or four email exchanges fail to resolve the issue, there should be a way to get personal assistance.",Yes
gets cold Third time not loading Don't waste time by moving too slowly. You cannot create an account and the page won't move.,Yes
Can't get far without assistance that is WAY too expensive; who pays $40 or more for a few extra aids?,Yes
"One of the worst examples of this game type I've ever played, in my opinion. Slow, boring, and repetitive game, plot, and aesthetics.",Yes
"Run, don't walk away from this game unless you're prepared to continue playing it till retirement. A waste of time. boring, did I mention that? You have been forewarned.",Yes
"If I didn't have issues clicking on items, the game would be a lot of fun. Every time I attempted to click something in the game, it would freeze before unfreezing, and it wasn't my computer; the problem was with the game. I finally had to uninstall it.",Yes
Too challenging for smaller kids. My 8-year-old grandson became so frustrated that he stopped playing it.,Yes
I can't access the game's current state on my new Kindle.,Yes
"On my iPad, I was unable to get it to operate. I had to remove it.",Yes
"The game is fun, but the energy recovery time is excessive. Playing the same games over and over again to acquire the necessary stuff is also boring.",Yes
"decent game, but very obvious attempt to convince you to pay real money. Limited game play unless you purchase ""energy,"" constant ""sales"" and ""deals,"" Not good",Yes
"There is just too much bullshit going on, which ruins the game. Time waster.",Yes
"Although carefully thought out and executed, the issue appears as you attempt to make significant progress. Without investing a lot of actual cash, it cannot be done. When I get there, I'm going to delete what might have been one of the best games I could have found. It's too bad.",Yes
Life and money wasted. I'm not all that like the app.,Yes
No physical altercation unable to comprehend all the upgrades.,Yes
Waste Your Money On This Money Pit Of A Game Would Not Work On My Samsung Galaxy 7,Yes
"costly and boring, did not enjoy and did not get along with this game.",Yes
A replica of Game of War. Enough said; refrain from downloading. It is wasteful.,Yes
"It was enjoyable at first, but thousands of dollars are required to maintain that enjoyment. Every week, new products are released, and unless you spend a lot of money, you can't keep up. Creativity requires genius.",Yes
Boring Nothing sets it apart from similar products in the category.,Yes
"No fun, feels like a chore trying to keep up with everything going on in the building.",Yes
"Quite enjoyable game, however it's very expensive and my Kindle Fire crashes all the time now. I honestly can't suggest it on Amazon's platform any longer because it now crashes every few minutes.",Yes
"I was using the version before the change, but it won't let me play any more. Fix the problem.",Yes
"Although I really enjoy the game, I do have two problems. The absurdly long wait times for construction, research, and other tasks, as well as the frequent pitches to buy things. Give it a try if you can get around that.",Yes
"recurring server crashes If you can't afford $100 a week, don't even bother. Be broke and have no fun at all.",Yes
"Without spending a lot of money, you can't enjoy the game. This game is designed so that you must purchase packs in order to compete and have fun playing; otherwise, you will lose due to having insufficient power.",Yes
"Things that are overpriced and quickly become obsolete. The game frequently crashes, and I frequently get kicked out. The game deletes my messages after monitoring state chat. Zero customer support. My money was completely wasted.",Yes
"This ""game"" is a depressing time waster. I believe it is appropriate to provide this review after three months of relentless pounding. Having read numerous testimonials from players I'm aware that my experience is not exceptional but rather quite typical. The players who cheat the most and spend the most money control each state. Spending more money than the other players or hacking the game to obtain stuff that would otherwise cost money are the only ways to win. The ultimate goal of the game is for each state to cooperate in order to defeat other states in point competitions. By completely demolishing their base, the petty power bullies, on the other hand, refuse to give any smaller players the chance to fully participate in the challenges. I regret downloading it. I'm glad I avoided spending money on that. Oh, right Like the Mafia, the major players try to bully and threaten smaller players into paying for theirsecurity. Customer service even supports this behavior.",Yes
"time waster with a lot of ads that offers no amusement. It's worse than Clash of Clans, which I just kind of enjoyed.",Yes
"The slow input in this game is the problem I have with it. I recently complained about not getting in-game purchases fulfilled. Still no reaction after two days. We'll see how it turns out. Many players have voiced complaints about how long it takes to complete in-game purchases made with Amazon Coin. Therefore, avoid using Amazon Coin to make purchases if you need it right away. You'll be in the clear if you don't mind waiting a few days�no pun intended.",Yes
This is merely a cash grab. Poor performance and ongoing problems are also present.,Yes
"I have a modest amount of money invested, yet developers keep dumping stuff on us, negating the value of our investments. I stopped spending after a year and a half and protected my account.",Yes
"merely because I can't give it a star rating of zero. If you prefer to compete by spending hundreds of dollars and hours pressing buttons, just to lose to someone who has more money? And because this game is still terrible, you should find a new interest. I quit.",Yes
"If you don't want to lose hundreds of dollars, stay away from the game. No support money-hungry bastards.",Yes
"If you don't want to waste your time, do not purchase this game. I wouldn't understand it.",Yes
"There is no live assistance, huge financial waste, log-in issues, and a need to email support after the base has already been destroyed.",Yes
"This ""game"" is really robbery. DO NOT purchase this game unless you have an endless supply of cash. In essence, it is riddled with bugs, frequently crashes, and you can never advance in the game to genuinely compete unless you have $100 to spare every few days. Unquestionably NOT FREE The game's developers insist that you pay to play, but they never repair any problems, and they are certainly unhelpful when you contact them. I regret using my hard-earned money and would like it returned.",Yes
"With the essential Amazon app, things are really bad. The game worked perfectly before the ""must have app."" I am unable to stay online for an extended period of time now that the app has been loaded. Not as entertaining as the preview teasers I played prior to its release, Amazon instantly fixes the issue.",Yes
"You can only advance in this fame to a certain point before having to spend actual money. They advertise gear for the strongest, but you can only get it by purchasing ""packs,"" which is equivalent to paying with gold, but the money has no value. You only purchase the pack for the gear in order to compete with other bases without losing ground because you KNOW they have invested in the newest equipment. You spend $100 believing it would be worthwhile. Then, two days later, new ""all powerful"" gear is released, making your existing gear outdated, and you are unable to get the most recent gear without spending an additional $100. Because they want to sell you the REAL strong gear, they pitch the equipment as having a specific value before devaluing it days later without offering you a refund. It's a swindle. They are liars and thieves.",Yes
"This game is for you if you have $100 to spend every day. Mistakes, subpar performance, terrible customer service, and many other things I can't recall right now. A nice game once existed, but the game's producers' avarice destroyed it. It's not cool to pose as a free-to-play game. Avoid downloading it.",Yes
"The only regulation in Mobile Strike is to charge 99 for a ""pay to play"" system that is slightly addictive and quite expensive after a short period of time. The end-less 99 pack needs quickly render the incentives you purchase in resource packs outdated. The game is a complete imitation. No end to it. It's a game for trolls. Avoid falling for the trap.",Yes
"I might be missing the purpose, but other critics seem to be. An understatement would be ""PAY TO PLAY."" Literally, I've learned that in order to gain any amazing troops, like DELTA FORCE or Mercenaries, or anything that can successfully defend your base or attack other bases, you kind of need to reach past level 21. Guess what, even with that opulent starting package I paid 4.99 and then 19.99 for, you still need special items, like Magic Hammers, and other things to improve the base's buildings in order to reach level 21. And BRILLIANTLY, at the level 20 cutoff, boys start to turn into men, and all for the low, low sum of 99.99. I absolutely miss the days when you could buy a PC game for as little as $99.99, own it, and play it for years without having to spend any additional money. They definitely grabbed my every nickel because MOBILE STRIKE IS A MONEY PIT, a hole in the ground for your hard-earned money (actual money). I only hope that other people don't waste their time constructing bases just to discover that they WILL be destroyed, overrun, or even have your commander killed by someone who was stupid enough to pay 99.9 or more to trample over those of us who refused to do so. Simply stating, Mobile Strike is a terrible excuse for a video game. Epic has unmistakably created a platform that has made it possible for a traditional con to stoke greed. Extremely frustrating gameplay. I enjoyed playing this game for a few months back when it originally came out. I had just finished level 21 when I initially quit, and level 22 was released a short while later. To keep your forces at a level where they can be productive, there is a constant need to spend money. Typically, packets cost 99. I returned after a year, and level 60s were present. For 4.99, epic offers a catch up pack. Not bad, I believed. To get me to level 90, the subsequent bundle cost $19.00. They will start selling level 125s in three weeks. The amount of data utilized to track resources is staggering. such sums as Million, Trillion, Trillion, and Trillion (MTTT). Epic updates the game frequently, making it more and more necessary to buy new packs in order to advance to the next level. The most recent power levels are multiplied by 10 whenever a level is extended. By doing so, a person with a lesser power level has no chance of defeating a 10 times stronger foe. As a result, the 4.99 catch-up deal quickly changed to 99 packs to maintain. To be competitive in the current game, you need to take two power steps per week. I would strongly advise against playing this fictitious game.",Yes
Boring. gradual crash Avoid wasting time. I took it out right away.,Yes
"If someone with more authority decides to ban you from the game, there is nothing you can do to stop them. Otherwise, I would not have known that I had downloaded the game and was unable to use it on my Fire.",Yes
"At first, playing this game was enjoyable; I joined an alliance and made some good friends. Unfortunately, it turned into such a clear money pit after about two months that many people stopped participating since we were unable to keep up with the expenses to remain competitive. The packs initially cost $5, then $20, but they eventually rise to $100 and then $200. At a particular level, certain game objects are required for advancement but may only be acquired by buying a pack. This is simply my assessment of the game; I strongly advise checking other reviews from other people before downloading.",Yes
"The only cost is the download, and that's about it. The game reaches a stage where you have to start purchasing items to continue playing. There are many things you can't accomplish in this game without buying things, unlike some games where you can play the game but speed it up with purchases. The purchases are also pricey. They frequently advertise packets that typically sell for 99.99 apiece. Not even one pack will do. Additionally, there is a nonstop barrage of pack advertisements. A lot of bugs might be found in the game at times. Finally, they continuously increasing the amount of resources and actual time required to complete tasks, to the point that eventually they would require billions or quadrillions of resources and trillions of days to complete if you did not purchase speedups from them. Even just the math is becoming quite difficult. I play because I've already made some pals and don't want to lose them. However, I regret that I even started. This game is terrible, buddy.",Yes
It is extremely pitiful that a game with this much market longevity has so serious stability problems. It frequently crashes on different Android smartphones. Unacceptable in every way. The game is a ridiculous waste due to the terrible stability and the fact that you essentially need to pay hundreds of thousands of dollars in order to not be a doormat. Make no effort.,Yes
"Every single review I've read is accurate. This game is a massive fraud designed to drain you of your hard-earned cash. Don't be misled. They don't give a damn about you, your gaming experience, or anything like. Intense lag and problems make competing impossible and agonizingly irritating. If you spend even 500 US Dollars every week, you are a little fish. Customer service, or the lack thereof, is pure horse feces. group litigation Whoever's Lawgroup decides to actually take this to court has the right to do so. I hope you take them to the cleaners like they have been taking us for the past three years or so. Bravo and thank you. We're all willing to sign up to sue these scumbags in court and get our money back where it belongs. DO NOT. DO NOT DOWNLOAD THIS GAME, I SAY.",Yes
Don't waste your time and money on it; the folks who created it just intended to profit from it. You cannot move about the site without it taking hours or all night to complete a single upgrade or construction.,Yes
"To keep up with releases, one must spend too much time releasing. There are currently a lot of troops, but they are unable to engage in any activities since they must constantly protect themselves. As a result, there is no enjoyment to be had without spending a lot of money.",Yes
"Unfortunately, it won't let me give it a lower rating because it was a waste of time and memory. I suppose there are plenty of people who enjoy wasting their time by paying to move s*** around, but I'm not one of them.",Yes
"other reviews are accurate. You can't participate or play without spending thousands of dollars, thus it's a money grab. The game lacks an action component. The advertisements are accurate; it is addictive in a negative sense since you believe you are progressing in this scam but you aren't able to. They simply ask you for a hundred dollars every time you go on to perform endless research that becomes outdated after a week. Furthermore, if you get destroyed by stronger bases, you could quickly lose the money you just spent, which turns it into gambling rather than gaming.",Yes
"No stars, they were entertaining, but now they want people to spend $100 every day to stay up, and if they don't, they can't play. I can no longer play since there are too many new insignias and quick improvements. Nearly daily improvements. Therefore, everything you buy becomes outdated in 24 hours or less. Don't waste your time or money playing. NOT AT ALL FUN. MS made the game poorly because it was hungry. Only men who earn six figures a year can afford to participate in this game.",Yes
"This game is very pricey, and the developers update it so regularly that the things you just bought lose their usefulness. In order to compete effectively, be prepared to invest at least 500. Since this game is worthless and I can't even sell my account to recoup even a little portion of what I've paid, I wish I had never spent a penny on it.",Yes
"This game is unlike anything you've seen in the advertising or demos for other app games. The actual game has several bugs and frequently crashes out on you without warning. Pros: + Fun and addictive Quite complex strategy that has a higher learning curve Areas for development Glitchy, erratic app shutdowns; many advertising urging users to purchase packs; occasionally malfunctioning notifications If the game weren't so glitchy and there weren't so many advertisements urging you to buy things, I would give it more points. You must pay real money in order to advance, compete, or use all of the game's features; beware, it is quite addictive. I can't figure out how to accomplish anything in this game.",Yes
"The game doesn't run smoothly. Commander gear can be changed without freezing, however help desk tickets are never resolved. They don't and seem unable to resolve bugs.",Yes
"I'm only giving it one star because I'm unable to give it zero. Completely useless junk that is not worth the cost of being ""free.""",Yes
"It's not advisable to play mobile strike unless you want to spend a lot of money, and it occasionally doesn't work, in my experience after 4 months of playing. Find a different game.",Yes
"takes up your time and keeps asking you for money for improvements. Without consistently investing money into the game, you cannot succeed in this game. As a result, it became boring after a while. I don't think anyone should do this.",Yes
"Excellent game; highly entertaining and intricate; plenty to do. The only issue I have is that this game costs a lot of money to fully develop and reap its rewards. If it weren't for the cost increasing as you spend more, I would give it a perfect score of 5. Package prices begin at $9.99 and increase by $9.99 for each additional purchase. Even though I am aware that some games cost more, this is still unfair to the typical gamer.",Yes
"After receiving a ton of free content, I discovered the app was boring and utterly awful.",Yes
"For three hours, I was unable to access the game. then ads after reconnecting. NO GAME is available to play. ONLY AD.",Yes
"Time waster. endless duties to gradually build up resources, ammunition, manpower, etc. Not my cup of tea. 30 minutes later, I uninstalled it.",Yes
"I wasn't looking to buy this coin set. I like the 10,000 coin pack because you may save more money and receive a larger discount. However, it would only let me buy 2 of the smallest coin packs, so my savings were only.40. Even the time I spent initially trying to gain the savings was not worth it. The only reason I attempted buying these smaller packs was because one of your technical support representatives advised me to do so before trying the larger pack. It cut me off after I made the purchases for the lesser bundles. And I was unable to acquire anything else, much less the larger bundle I had been aiming for. Therefore, in the long run, I lost a lot of time and money by first buying the smaller packs of coins. Finally, I received payment for it. I appreciate that. However, I truly would have preferred for this problem to have been fixed before I made any further coin pack purchases.",Yes
"Playing is just too pricey. Prepare to spend hundreds per month if you want to compete. Greedy business... Over a few months, I spent many thousands of dollars, yet I still fell well short of becoming competitive. So... I gave my account to a friend after quitting. Unless you have hours to kill, the game is pretty dull. It takes a lot of pointless clicks and taps to improve XP, etc. Lots is what I mean. I'm talking about repeatedly tapping hundreds of times. While performing this boring activity, I frequently slept off. Therefore, I don't suggest anyone play this game, and if I were Arnold... Personally, I would leave the game without a smile. Game has potential, but the firm has been tainted by greed, and I don't think it will endure very long until they drastically modify the way they conduct business.",Yes
"The user interface is sluggish, crowded, and imprecise. The map is impossible to use. Although there is a limited capacity to contact with other players, the ""chat"" feature is connected to the gold shop. The ""blog"" is actually a series of blurbs about the most recent discount package. Despite posing as a ""war game,"" it contains no elements of strategy or tactics, which fall under the category of C3 (communication, command, and control). In addition, it is extremely expensive to play. To unlock important structures, technology, and combat abilities, 99.99 purchases are necessary. My recommendation is to not bother.",Yes
"Another aspect of the army that I can't handle. Additionally, it doesn't work well with the younger crowd",Yes
"Although it's a highly addictive game, I would never suggest playing it on any kind of Kindle. The game is quite sluggish, it stalls far too frequently, and there are frequently problems with gold purchases. My advice is to either find a better game or sell your Kindle.",Yes
"Although I didn't enjoy this game, things have changed. Regardless of the device or internet connection, the App constantly freezes or shuts down. The claim that this game is free to play is untrue. Due to the frequent introduction of new things that have the potential to completely outperform all currently available items, you have no chance of playing if you can't pay at least 200 every few days. The exorbitant prices have turned away thousands of customers.",Yes
"If you don't buy a fresh pack once or twice a week, you can't advance in the game. Pit of money. Not operating",Yes
"starving for cash developers. Fuck all of them. At least once a week, new modifications. Unless you're a billionaire, this game is useless; even then, why would you waste your time playing it?",Yes
Another aspect of the army that I can't handle. Works incredibly well with younger audiences,Yes
"If you don't buy a fresh pack once or twice a week, you can't advance in the game. Pit of money.",Yes
"starving for cash developers. At least once a week, new modifications. Unless you're a billionaire, this game is useless; even then, why would you waste your time playing it?",Yes
"Customer service just offers canned, pre-written responses that DO NOT address your issue or flaws in how the game is run. The typical response asks you to do a hard reset and restart the game in order to resume activities. The game will therefore pause in the middle of a war game while you are vulnerable and assaulting, and you will be required to complete a technical task on your phone that takes at least five minutes. As a result, you have been reduced to being a target for an aggressor, and you have simply wasted your money. Additionally, numerous system resets are needed for corrections and modifications as well as the ongoing marketing upgrades introduced into game play. Some of these resets happen in the middle of the game, requiring you to log back in. During this time, you run the danger of losing the money you just spent.",Yes
"Nothing like the commercials, just another waste of time and space that steals money",Yes
"This game is terrible; it takes forever to load, and when it does, it lags so much that you can't play.",Yes
"This is both pricey and tediously long. Additionally, this game isn't functioning properly, I found it to be boring, and I don't have that much time to set up a game.",Yes
I truly hope that they make some modifications because the game is becoming increasingly pricey and many high spenders have really stopped playing.,Yes
"It costs thousands of dollars to keep up, thus you can't possibly keep up. Many players spend $100 to $200 on the game before giving their accounts away, and even then, if you get one of these accounts, the game is not enjoyable.",Yes
"However, the marketing machine is moving at rapid speed. You won't be able to stay up or compete unless you continue to spend astronomical sums of money. Major time waster as well. Spend your time on something more worthwhile.",Yes
"It wasn't even worth downloading; after spending time putting it up, it was erased. Additionally, the software doesn't work properly when you launch it.",Yes
"Although it has a lot of potential and can't possibly be enjoyable, this game is somewhat of a bait and switch. The first game bundle costs only $4.99, the second is $19.99, which is still not outrageous, but the last one costs a staggering $99.99. It's obviously not worth it unless you're independently wealthy, given how glitchy the program is and how it constantly occurs at the worst possible time. Without spending a lot of money, it is just impossible to compete successfully. Although there have been apparent attempts to make the game UI as intuitive as possible, it still has a very long way to go. Game rules and explanations are at best simplistic. The combination of all of this causes a great deal of uncertainty for novice gamers. Customer service has typically been prompt, but just about half the time has it been beneficial or useful. It seems entirely random as to whether you speak with a support representative who has a thorough understanding of the game. Overall, this game has to perform much, much better for the outrageous amounts being charged. It's a shame because it does contain some intriguing concepts. It's an absolute disgrace that they don't just reduce their pricing and try to make up the difference by doing more business. Far fewer gamers would undoubtedly feel as though they were taken advantage of. I simply don't enjoy this game.",Yes
"very dull dumb game, pretty boring dumb game, and not working",Yes
I simply detest this game. I wasn't all that excited about that app because it was boring and I didn't use it for more than a few days.,Yes
"Overzealous update frequency The next week, there will be another 20 dollars to catch up once more after you buy one 20 dollar pack to be caught up. Overall, paid players spend too much money to stay up in a single month. There are better games to waste your free time on if you're a casual player.",Yes
What a waste of time it is that everything costs money.,Yes
"For a while, the game was enjoyable. Now it frequently crashes. Sometimes it crashes right away, and other times it runs for five or ten minutes before giving out. Support is useless. They claim that my device (a Note 5) is the problem after trying all they advised without fixing it and that they are unable to assist. On various devices, my son and my neighbors all play, and they all have frequent crashes. They don't appear to be able to stabilize their game, and I can't keep playing this way.",Yes
"was unable to download it successfully. I don't know what the issue is because I had plenty space for it, but whatever.",Yes
doesn't make sense at all. How should I operate the controls? seriously stupid Time waster.,Yes
"To difficult to set up. I had hoped it would be more intuitive, but it seems to be a time waster.",Yes
"I would have given it a five because I have so far thoroughly enjoyed the game, but today it locked me out and won't let me log back in. So tonight I shall undo all my progress. Therefore, as of right now, I am VERY dissatisfied with Epic War and Mobile Strike's capacity to assist me in resolving a problem. If someone could only assist me in fixing my account, I would be happy to update my review.",Yes
"There are no safeguards in place to guarantee your success. Bullies with a lot of money can use the game to thoroughly discredit everyone else. The creators don't care about producing a high-quality product; they are more interested in taking advantage of trusting consumers. I tried contacting them, but they either ignored me or said they ""can't repair it,"" which is false. I explained how they are simply unwilling to invest the time because addressing problems would result in less people purchasing their advertisements. Newsflash You make even LESS money when people stop playing because of your attitude or attitudes.",Yes
"Because it logs you out of the app every four minutes, you can't use anything you buy for this app.",Yes
They will squeeze you dry of cash if you don't pay. Game was entertaining up until everyone had a financial advantage and I was unable to survive or win any battles.,Yes
"pricey and addictive This game is not for you if you do not intend to invest a lot of money in order to achieve. I continue to play because of the relationships I formed inside my alliance. However, kill events are few and my current status is essentially dead. Previously, you could obtain a number of commanders each day, but nowadays, you must rally a person at least 20 times in order to accomplish this. Since months ago, I have not solo hit anyone. To keep this game going, A STATE MERGER IS A MUST. The game's servers are continually having problems, and given how much money we all pay for it, I don't see why they keep happening. However, customer support is quite accommodating and generally kind when it comes to resolving problems and bugs within the game. I'm really sorry.",Yes
I find timed performance-based competition in video games to be boring.,Yes
"After installation, when I tried to play, I was constantly presented with products for sale. Following one another. Never succeeded in playing the game or even attempting it. No demo is offered, not even a playable demo. Downloading this was a complete waste of time.",Yes
"Don't waste your time unless you're prepared to spend $1,000 per month to even be able to compete.",Yes
"accidentally downloaded and removed. I haven't even tried it, so I can't comment.",Yes
"As each pack cost $99 and they continue to introduce more, better stuff every week, I have spent over $900. You require billions of resources and files for research and upgrades, which means you have to keep paying money to get a 10-minute excitement. With that much cash, I was only able to get up to $300,000. Up to 32 million of our biggest spenders purchase packs weekly. They alter the game so drastically that it is hard to keep up without investing more and more cash. and you lose your entire army in one attach. We have 30 days of 45K gold shielding. You are unable to even sell your account since, after a few weeks, it will be worthless. If you receive a Billion Resources this week in 99, you can receive a $50 note the next week, but even that won't be sufficient for the next level. There isn't enough value in the game. (State 37:137:517) No matter what, if you don't work for them, you'll never succeed.",Yes
Absolute garbage if you're looking for a game to waste your money on.,Yes
"unclear design, boring gameplay, and excessive product promotion",Yes
"I subscribe on a regular basis to get rid of the ads. For a while, it worked, however as of late, my iPhone's mirroring attempts result in a blank screen. What's the problem? There is no way to reach customer service. Please get in touch with me about this, thanks. -9/19: Still waiting for a response; the problem persists. Continuing charges",Yes
"The ""Free"" edition was completely useless. received a message stating that the advertising would not play; buy the paid version. So I bought for the version, which included a two-week ""free trial"" before switching automatically to the full, 12.95/year version. It appears to have been bought on Amazon Digital Subscriptions, but it is still not functional. The same problem is displayed while trying to play advertising, buy the paid version, or activate adverts. There is no mechanism to ""allow ads,"" and I already paid for the premium edition. Doesn't function as a free version or a paid version. Avoid wasting time. I simply hope that the app didn't steal my logins for HBO Max, Amazon, and other services. I don't have any xenophobic feelings, but the fact that the developer's name is solely written in Chinese characters worries me because the PRC government is dictatorial and well-known for supporting hackers around the world.",Yes
"I was able to cast the screen of my Samsung S8 phone running Firefox to my LG TV using an Amazon FireStick. I discovered that I also needed to install the Google Home app on my phone, launch it, and select the Cast connection in the Firestick app. It functions, but I'm not sure how much I can rely on the Chinese-developed program to keep my data secure and free from eavesdropping (Chongqing Ioni Technology Co., Ltd.) Numerous skips in the Vimeo video the last time I used it; perhaps sluggish internet; or was there another issue? but I'm scared of it.",Yes
"It repeatedly logs out of the software. My WiFi is compatible with all other devices and apps, so I know the problem isn't with the connection.",Yes
"No, a second window appeared midway through the movie and I was unable to close it; as a result, I was unable to see the film's conclusion.",Yes
"This works to make it possible for me to mirror the screen from my iPhone or iPad onto a Fire TV stick. It's far less user-friendly than my Samsung smart TV or Apple TV, which both have the feature built in, but it works if you just want to rapidly share a screen with a few more keys to push. It doesn't merely function the same as Apple systems. But I can't complain because it's free.",Yes
"Even though they were both connected to the same wifi network, when I tried to cast from my phone, it was unable to locate the device.",Yes
Downloaded together with two important problems:,Yes
"When Amazon distributes a piece of software, there need to be a quality check. It doesn't work after I downloaded it.",Yes
"It's terrible; I can't sync, and even when I can, the connection keeps dropping.",Yes
"Although simple to connect to and operate, the picture quality is horrible. After five minutes of watching, my eyes hurt. I'll remove the app's slightly buggy airplay functionality from your phone or iPad. I am unable to stream it in full screen. It is unreliable.",Yes
"I used it for Oculus Quest casting. first worked fine but ceased operating after a few months. Even after downloading the Pro version's trial, it still isn't functional. On Oculus Quest, I receive an error notice that reads ""casting/livestreaming error."" Someone mentioned that the trial doesn't work but that if you pay it does.",Yes
"really glitchy The cast function only works one-third of the time, yet the ads *always* function. I think the frustration is not worth it.",Yes
"This router is awful, not easy, and does the job. I would have liked to see some parentalsecurity profiles with more complex features, but you get what you pay for. Since I've been using it for about a month, I haven't had any issues. The Tether app's main drawback is that occasionally it won't let you log in using your phone; instead, you'll need to restart the router to get access. Otherwise, using a laptop to log in is seamless.",Yes
"Avoid downloading It isn't even close to being Snapchat; all it does is promote your Snapchat username so that random perverts can add you and send crude pictures. I closed the app and logged out, but the issue persisted. Can anyone offer any assistance?",Yes
"Unable to or unwilling to invest real money, you advance in this extremely stressful game very slowly. If you are specifically seeking something, you must do quest after quest in order to obtain it; but, all you receive is energy or something you already have in abundance. In this case, you should carefully consider deleting the game. Support is useless since they only give you pointless emails.",Yes
"Showed promise as a game that would be interesting, however after playing a few rounds, the game became continuously stuck at one point. unable to go past it. Removing it.",Yes
"I was happy to discover that there was a Kindle edition of this because my sister-in-law has it on her iPad. The only drawbacks I've encountered are that the game can occasionally lock up and that the hints flash on the screen too quickly for easy reading. For more seasoned players, this may be an issue.",Yes
"1. The game has frozen, making it unable to save all of your progress.",Yes
Can't get far without assistance that is WAY too expensive; who spends $40 or more for a few extra aids?,Yes
"As soon as the app charged me for stuff I didn't receive, I stopped like it. What a scam",Yes
"When I try to click on buttons to play the game, I run into issues. It is annoying to constantly press a button in order to get to a playing area or instructions on what to do next.",Yes
"One of the worst examples of this game type I've ever played, in my opinion. Slow, boring, and repetitive game, plot, and aesthetics. Run, don't walk away from this game unless you're prepared to continue playing it till retirement. A waste of time. boring, did I mention that? You have been forewarned.",Yes
"I might be missing the purpose, but other critics seem to be. An understatement would be ""PAY TO PLAY."" Literally, I've learned that in order to gain any amazing troops, like DELTA FORCE or Mercenaries, or anything that can successfully defend your base or attack other bases, you kind of need to reach past level 21. Guess what, even with that opulent starting package I paid 4.99 and then 19.99 for, you still need special items, like Magic Hammers, and other things to improve the base's buildings in order to reach level 21. And I don't Like Brilliantly because it costs only $99.99 and the level 20 cutoff is where boys turn into men. I absolutely miss the days when you could buy a PC game for as little as $99.99, own it, and play it for years without having to spend any additional money. They definitely grabbed my every nickel because MOBILE STRIKE IS A MONEY PIT, a hole in the ground for your hard-earned money (actual money). I only hope that other people don't waste their time constructing bases just to discover that they WILL be destroyed, overrun, or even have your commander killed by someone who was stupid enough to pay 99.9 or more to trample over those of us who refused to do so. Just a thought...",Yes
"A horrible excuse for a game, Mobile Strike. Epic has unmistakably created a platform that has made it possible for a traditional con to stoke greed. I find the game to be quite annoying, and I don't enjoy it. I enjoyed playing this game for a few months back when it originally came out. I had just finished level 21 when I initially quit, and level 22 was released a short while later. To keep your forces at a level where they can be productive, there is a constant need to spend money. Typically, packets cost 99. I returned after a year, and level 60s were present. For 4.99, epic offers a catch up pack. Not bad, I believed. To get me to level 90, the subsequent bundle cost $19.00. They will start selling level 125s in three weeks. The amount of data utilized to track resources is staggering. such sums as Million, Trillion, Trillion, and Trillion (MTTT). Epic updates the game frequently, making it more and more necessary to buy new packs in order to advance to the next level. The most recent power levels are multiplied by 10 whenever a level is extended. By doing so, a person with a lesser power level has no chance of defeating a 10 times stronger foe. As a result, the 4.99 catch-up deal quickly changed to 99 packs to maintain. To be competitive in the current game, you need to take two power steps per week. I would strongly advise against playing this fictitious game.",Yes
