category,Tilte,Base_Reviews
security,Two Stars,"Downloaded this on a Kindle Fire 8 HD.  No indication it was a ""pay only app"".  No Free trial...  It installed no problem, setup to my printer was easy, but then I tried to print a 1 page document, it said I needed to install and pay for the premium version.  UNINSTALLED.  Got a different FREE app that works.  I don't want to pay $9.95 for something I might use maybe once a month or less..."
self direction,Easy to use,"Printed without difficulty, easy to use. This was the best app to use with my wireless HP deskjet2540 printer. I tried 2 other HP apps and could not print with my Kindle Fire tablet. I called HP support and was told Hammermill was the app I needed. I only wanted app to print coupons but was unable to print them, per HP support they were receiving reports of problems with mobile devices not been able to print  coupons. I was told mobile devices could not print coupons, due to that I removed app. I will continue to use my laptop to print coupons."
stimulation,"I would have to say that this is a great product, unfortunately it did not work for me ...",Waste of money
security,Five Stars,"Great,but has some internal program problems like deleting and gets e-mails on it's own!?"
self direction,Five Stars,"It keeps wanting me to verify by phone... Put in code hit verify and point, nothing. Can't delete any old stuff that was downloaded so have to sift thru to find stuff. If I could find a help site that would be great."
self direction,It works!!!!,You can't print direct from app
security,Five Stars,Doesn't work on Fire tablet.
security,Not for me,works well where Print Me didn't. hate the ads but its the free version. only problem is my brother printer at home wont print with this app. I Have to use Brothers Print app
security,Five Stars,Unfortunately it loaded ok on my Kindle but it doesn't work..it recognizes the printer but says it's printed the doc. But it really hasn't!  It would be great if it works. ..
self direction,Prints every time,Of absolutely no help to me.  They state you can print from a networked printer but the instructions do not help. I still can't print from my phone so it's useless to me.
security,One Star,Doesn't work. Deleted.
security,First Try Worked Great!,"doesn't work, wants us to buy upgrade, then doesn't let you buy it"
security,Two Stars,I had a problem but the next day I got a message telling me to change my venue..wow
security,Didn't work,Doesn't work with fire 7 tablet
security,Three Stars,Doesn't work for me.
self direction,Works on Kindle fire,Still can't get it to work
security,Worthless,doesn't work on my kindle or with my printer
security,Five Stars,Doesn't work on Kindle Fire.
self direction,Terrible App,Terrible App. Can't even open the app. If you have a Kindle then don't get the app.😐
stimulation,Pretty bad,"Pretty bad. I got this app thinking it would have good audio quality and actually be able to record my screen. Waste of time, very bad audio quality and starts recording my screen either 2 minuets after I press record or doesn't record at all. 2 stars is over rating this app. I wish I could give it a half star."
security,App doesn't work and customer service doesn't respond.,"App doesn't work and customer service doesn't respond.. I'm incredibly disappointed and upset with this app. It stops recording within a few seconds, EVERYTIME. I bought the pro version hoping it would help, but it didn't. I've emailed customer service TWICE WITH NO RESPONSE. We had such high hopes...but apparently the devs don't care. Extremely unprofessional.  If I could give it a zero, I would."
self direction,This isn't that good,This isn't that good. I can't figure out where the videos go to.its just so bad don't get it even if it haves idk stars don't get it >:(
self direction,Kinda good Kinda bad...,Kinda good Kinda bad.... This game is not a filter. You have to take a picture and you can't chose an existing one and then you drag stickers on to the face. There are very little options but it does look cool. I don't even think you can save the pictures! This game deserves a lower rating. I do not recommend this game.
security,Doesn't work with shared printers over a network,"Doesn't work with shared printers over a network. My fiance's printer is shared through her desktop computer. As far as I can tell so far there is no way for this app to detect printers that aren't WiFi networked printers. I'll need time to tinker with the desktop, and printer to see if I can find a network address for her cannon printer. Until then, I'm not completely impressed with this app..."
stimulation,Two Stars,Two Stars. waste
stimulation,What a waste of ink,What a waste of ink. Prints pages and pages of garbage.  Nothing else.  The wick worked well but the resulting stack of single spaced printed pages was a costly error.
security,Doesn't work with my printer,Doesn't work with my printer. I have an Epson NX430.  The list of printers it works with has everything except my printer. That's is disappointing.
power,no support for epson xp400,"no support for epson xp400. looked like it was going to work, but then could not find epson xp400 in list of supported printers.: ("
self direction,Disappointed,Disappointed. Unable to date this product It did not work on my Kindle.
self direction,COULD NOT FIND MY PRINTER DRIVERS,COULD NOT FIND MY PRINTER DRIVERS. Although the application was easy to set up and found my network easily I was unable to find a driver to run the Epson printer I have. 100's to choose from but not mine. Disappointing.
stimulation,not compatible,not compatible. Another wasted five minutes of my life I won't get back not good enough but then amazon keeps disappointing with incomplete descriptions.
self direction,PrintBot,"PrintBot. Waste of time stopped working correctly soon after installed, don't bother with it."
stimulation,not a lot of use,"not a lot of use. This not only took up valuable space on my kindle fire, but it failed absolutely to print anything except the test page.After the 4th attempt. Then failed on All other apps.Not very impressed at all have now deleted from device!! A waste of time and effort."
self direction,Didn't work,Didn't work. I was unable to use this to print from my Kindle Fire as my printer was not listed. Very disappointing.
stimulation,waste of time,waste of time. No good for HP printers.Tried this because Amazon app store hasn't got the HP Smart app. (one of the biggest printer manufacturerson the planet) for the Fire Tablet.
security,Wrong app which won't function,Wrong app which won't function. I was advised to download this by an Amazon Chatline Helper to enable wireless direct printing from Kindle.  It is not the the correct app and doesn't work.  The chatline person said she would book a help call for me on Saturday - I'm still waiting to-day - Monday.  Don't suppose there will be any call forthcoming.
self direction,Didn't work :(,Didn't work :(. I didn't work on my Amazon tablet so unable to review
self direction,Basic Model,"Basic Model. To get benefits  you need to purchase the Pro, as the basic only gives you limited access to it usage"
stimulation,Did not work at all,Did not work at all. waste of money
self direction,didn't work for me.,"didn't work for me.. Initially viewing was smooth, clear and then all stopped and said I was required to sign in.  That was disappointing, but I moved forward.  I was unable to get signed to the CBS  COX access."
stimulation,Undelivered promises,Undelivered promises. Tried to log onto a Saturday NFL game to no avail. Waste of time. The ad stated I could watch live streaming NFL games but they weren't carrying any 'non regional' games. Funny they never mentioned that in the ad.
self direction,Few women's sports,"Few women's sports. Well, if you're a jock, then this station is for you.  Covers very little of women's sports.  NCAA women's basketball --thumbs down.  Can't get a highlight feed from ESPN?  Terrible. Lousy."
stimulation,Only local games,Only local games. I thought “All Access” would allow me to watch NFL games on CBS not in my area...nope. It knows where you are and will only feed the local game....so waste of time and money.
stimulation,Wasted $6,Wasted $6. I ordered it to watch a football game because CBS and my cable provider are in a dispute and had to go to a different app to watch the game because when I tried to watch it on the CBS app they said my they couldn't air the broadcast because of the same dispute.  Wasted $6 and canceled it the next day.
self direction,Cannot watch live TV even with a cable subscription,"Cannot watch live TV even with a cable subscription. Downloaded it to watch live tv, unlike most tv apps where I can log into my direct TV credentials but this one is an exception. I wanted to watch the NFL games because I was unable to on NFL Sunday ticket due to the game being local but this app did not allow me to. I had to resort to an illegal stream to watch the game"
self direction,False Advertising,"False Advertising. Very misleading name, you download thinking your going to be able to watch the game that's live on TV because the name of the app is CBS SPORTS STREAM & WATCH LIVE but you can't do either of those things, it's just game highlights, extremely disappointed and dissatisfied, false advertising."
stimulation,Waste of my time,"Waste of my time. From the title of the app, I thought I could “stream and watch live” sports.  That is incorrect.  I could watch only replays of sports news.  In order to watch sports events, you have to have a cable or satellite subscription. I guess if I were in the road and wanted to watch a random game, that would be ok. However, I cut the cable so I could stream. This app is worthless to me."
stimulation,Waste of time. Super lame,Waste of time. Super lame. This is pointless. You can’t watch live events without paying for something free on television. It’s just a feed of the lame verision of ESPN but more off-putting
stimulation,If you’re not in the US don’t waste your time it won’t work,If you’re not in the US don’t waste your time it won’t work. I’m not able to watch this channel 😔😔😔🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️
stimulation,A waste,"A waste. Downloaded the app to watch my basketball team on CBSS, couldn't get the game just a constant talk show about sports. Will be uninstalling"
self direction,Can't watch CBS sports,Can't watch CBS sports. Really disappointed I can't watch the CBS sports channel while I'm paying 10 a month to have a channel.
self direction,Not worth the money !,Not worth the money !. Unable to stream football games other than local coverage.  You need to sign in using your local provider. So just use CBS from them and save your money. It was of no use to me.
self direction,It didn't work.,"It didn't work.. We were excited to try this to watch PGA tour golf, but were unable to stream after about 5 minutes. Disappointing."
stimulation,Waste,"Waste. Worthless. Was hoping for ability to livestream games like on other network sports apps (NBC, Fox) but all it has is highlights and talking heads. Waste of time."
self direction,can't really comment,can't really comment. I didn't watch it since I couldn't get the game I wanted
security,Just not robust on my set up on Apple TV.,Just not robust on my set up on Apple TV.. I was disappointed. The commercials streamed without fail or problem but the content was constantly buffering. Not a positive experience. I gave up and hope my 1 week free trial was cancelled.
security,Buffering took quite a long time...,"Buffering took quite a long time.... I was hoping to catch a bit of the Super Bowl so was excited to live stream it via this app. Unfortunately, I would only get about 2 minutes of coverage before a 60 second pause for buffering. My internet speed is quite fast and I use it regularly for video conference calls, etc...so the issue was not my connection. Disappointed."
self direction,Poor quality mananufacturing of the TV,Poor quality mananufacturing of the TV. The tv stopped working and can’t get it fixed but amazon supportIt is a fire TV less than 7 months oldBerry disappointing
self direction,Disappointed,Disappointed. Moved to the Midwest and am unable to stream a live East coast team. Kept redirecting me to the Midwest team.Disappointed.
stimulation,Waste of time if your looking for live sports,Waste of time if your looking for live sports. Did nothing to help me watch games that weren’t being showed in my viewing area. Waste of time if your looking for live sports
stimulation,couldn't even figure it out,couldn't even figure it out. waste of money
stimulation,Stupid Bowl,Stupid Bowl. I only downloaded it to watch the super bowl and that was a waste time .....worst ever
stimulation,Worst halftime show ever,Worst halftime show ever. Boring as hell
self direction,No good,"No good. Nope this app' ls no good, can't watch anything unless you subscribe to monthly plan."
stimulation,never waste your money on a useless fire stick,"never waste your money on a useless fire stick. It did not work, I get nothing unless I have cable and I thought that was the entire point of fire stick, If I would have known that fire stick is useless I would never have spent 80.00 for nothingnot easy to use, not easy to set up nothing works."
stimulation,Avoid,Avoid. Not free.  Don't waste your time.
security,Poor quality,Poor quality. I purchased this for super bowl week and was disappointed with the picture reception ! Too many pixil issues ! Looked like sd reception
stimulation,Not worth it!,Not worth it!. Not worth it!  Was hoping to watch live sports (obviously with cable log-in) but that's not even an option.  Don't waste your space.
self direction,Needs Improvement,Needs Improvement. Very limited coverage
stimulation,Waste of money.,Waste of money.. Waste of Money.
self direction,Can't Watch Sports unless you have cable or other pay service,Can't Watch Sports unless you have cable or other pay service. Can't Watch Sports unless you have cable or other pay service.Disappointing!
self direction,One Star,One Star. You can't watch live sports it's a waste of time to download if that's what you want
security,May be my internet speed even though I don't have ...,May be my internet speed even though I don't have .... May be my internet speed even though I don't have a problem with other applications but the content takes too long to load and many times does not load at all. Very disappointing.
stimulation,Save your phone space,Save your phone space. Downloaded to watch last Saturday's college football games. No dice. A waste of phone space.
self direction,Two Stars,Two Stars. Not what I thought it was. Unable to play live games
stimulation,Don't waste your time,Don't waste your time. This application for Fire TV is terrible. There's no live scores and no live TV for sports television. It's very basic and all you can get out of it is highlights.
stimulation,Waste of Time,Waste of Time. No real content...talentless talking heads that didn't make the main network. Don't bother with this.
stimulation,One Star,One Star. A waste of time.  No access to local CBS affiliate feed - poor signal of local station.
self direction,"... other than that the resolution of the picture is poor, the app freezes and sometimes is very slow ...","... other than that the resolution of the picture is poor, the app freezes and sometimes is very slow .... Downloaded the app to watch the NFL games and it does that but other than that the resolution of the picture is poor, the app freezes and sometimes is very slow to open, and the content is somewhat limited. The 3 stars is being nice unfortunately."
stimulation,One Star,One Star. waste of space on my firestick
self direction,Not what was expected,"Not what was expected. My husband downloaded this app because he thought it was connected to CBS's fantasy sports, it isn't.  It has the scores, etc. but it isn't what he thought it was.  I can't rate it as good or bad, as it wasn't what he expected."
self direction,Product doen't work,Product doen't work. Product stopped streaming the superbowl 10 minutes into the game
stimulation,Disappointed,Disappointed. I thought I would be able to watch Boise state games and games on CBS Spots. I can’t so it was a waste of time for me
self direction,Disappointed,"Disappointed. I can't even watch live games, all reviews and post spoets videos or highlights"
stimulation,Waste of time and money.,Waste of time and money.. Very poor service. I want to cancel.
stimulation,Uninstalled after 1 minute... waste of time,Uninstalled after 1 minute... waste of time. Lame old shows no live content at all.
self direction,Two Stars,Two Stars. Unable to watch live sports. Only allows view of segment highlights b
stimulation,Will delete,Will delete. NOT live sports. A waste.
stimulation,Poor coverage of games and requires the expensive TV live ...,Poor coverage of games and requires the expensive TV live .... Poor coverage of games and requires the expensive TV live Hula option or another cable/satellite service to watch. Waste of time & money.
self direction,Not good,Not good. Can't get live sports
self direction,Worthless,"Worthless. Can't watch sports on it. Just various sports clips, not entire games."
stimulation,NOT LIVE!! AVOID!!,NOT LIVE!! AVOID!!. I bought this app to watch the NFL. ALL is does is show you highlights of the game. NOT LIVE!! Waste of money!!!
self direction,Can't watch,Can't watch. Couldn't even watch. Waste of time.
stimulation,Nothing live,Nothing live. Reruns of talking heads. Don't waste your time
stimulation,Nothing to like about it,Nothing to like about it. It is a complete waste of time
self direction,Two Stars,"Two Stars. Not much to see, very limited selections. Just a variety of Clips and Highlights."
self direction,Did not receive product,Did not receive product. I was unable to see this product
security,Bad Stream,Bad Stream. streaming issues - had to watch it on cable
self direction,Two Stars,Two Stars. Limited flexibility
security,NCAA tournament issues.,NCAA tournament issues.. App is DOA now. Too bad.
stimulation,I am now dumber for having purchased and watched this app.,I am now dumber for having purchased and watched this app.. What a waste
self direction,Would not recommend.,Would not recommend.. Very narrow choices with limited variety.
stimulation,Waste of,Waste of. Nothing to offer. No live content. Waste of time
stimulation,Cant watch games. Even with all access,Cant watch games. Even with all access. Dont waste your money
stimulation,Don't bother,Don't bother. Waste of memory space.  No live content.
self direction,It's not for me,It's not for me. It is very limited on a mobile unit in fact it's terrible! I cannot access my fantasy baseball team from the site is not even an option.
self direction,One Star,One Star. Horrible. Paying for cbs all access but I can't get live streaming through this app.
stimulation,boring,boring. I wanted access to my cbs fantasy league and this doesn't give it.  Maybe it is worth if fi you cant get sport info elsewhere.....
security,Eh,"Eh. Watched the Super Bowl through the firestick and this app.Lots of lag was disappointing. Went from 2 minute warning to onfield handshakes/postgame.Reset router multiple times during game, don't think that was the problem.It's okay(3stars) because I did watch most of the game, though it was painful to watch with so much freezing and scrambling."
security,Same horrible broadcast from CBS,"Same horrible broadcast from CBS. It is nice to see a free AP available to watch something that you should be able to get over-the-air transmission. But, CBS broadcast is horrible over-the-air (compared to other stations in the same area)...so you try the CBS website...nope that still is devoid of atmospheric pressure (ie has a vacuum...hence it well...sucks). And, finally when you get to the free app...its no better. CBS seems so so far behind the competition when it comes to delivering a solid and reliable digital broadcast whether it be over-the-air or on the wire. CBS should not be given the chance to broadcast the big game again until they can get vacuum problems resolved."
self direction,Not good,Not good. Limited programing
self direction,Two Stars,Two Stars. Very limited in scope of coverage.  I will not be using it.
self direction,Two Stars,Two Stars. Not impressed with cbs apps... You pay for something so limited.
self direction,Super Bowl?? What Super Bowl!!,"Super Bowl?? What Super Bowl!!. Only downloaded this app to try and watch the Super Bowl. Unfortunately, the connection with CBS was horrible so we stopped trying to connect."
security,One Star,One Star. terrible they don't allow streaming free often and they don't have enough live TV. Always issues with CBS
stimulation,Don't waste your time on the download.,Don't waste your time on the download.. I expected to be able to see live or broadcast events with this app. It's just some videos and not many at that. Major sports only. I can go to their respective league websites. Don't waste your time downloading this app.
self direction,Three Stars,Three Stars. Limited access without subscription - gameplay which is delayed
stimulation,Don't Bother for Live Sports,"Don't Bother for Live Sports. Don't waste your time. Fox Sports, NBC Sports, and ESPN all offer live streaming of their NFL game coverage and other live streaming events. CBS does not offer live NFL games that they cover. I have a second TV in my living room to satisfy the TV watching needs of both my wife and I (she gets the big TV that gets DirecTV....mine is streaming only). My WatchESPN, NBC Sports, and Fox Sports all stream live events with the credentials of my DirecTv account. I'm not about to pay an addition monthly fee for CBS's ""Watch Now"" service. If streaming live events is what you want this app for. Don't bother. If you want to see highlights only..this is your type of app. Highly disappointed. 0 of 5 stars if possible."
self direction,One Star,"One Star. It's not even what I wanted, therefore I removed it. Can't watch a single live game on this app."
stimulation,Never Works & All About Gambling,"Never Works & All About Gambling. This is the worst streaming channel I have ever used. It usually plays for about a minute, then freezes up and kicks you out. When it actually works, there seems to be only one host, a Greek guy who just gives gambling information as to every game, and the book-makers are the main guests. This is the sleaziest garbage sports network I have ever seen. A waste of money on every level, and a major disappointmentfrom CBS."
self direction,No live content,"No live content. This app has no live streaming content. I don't know why anyone would want to check scores on their FireTv when we have computers and smartphones. This app seams completely useless to me. Every other major network has some sort of app that allows you to stream all games from across the country, but I can't even watch local games on CBS."
stimulation,no live games worthless,"no live games worthless. Lousy wanted to be able to watch RED SOX games but nah just highlights, boring rubbish and not worth a dime"
self direction,What the hell did they do to this?,"What the hell did they do to this?. 5-13-19 -- New update.  Don't get it.  Can't get my local programming anymore (Fox Sports Wisconsin).  Says I have to go to the Fox Sports Go App to do so.  That's great, but that's what this app is.  Horrible, horrible update.  Needs to be rescinded.  I have to watch on my computer now because the app for the Fire TV Stick is now junk.  Very disappointed and upset."
self direction,Uninstalled,"Uninstalled. The NFL has now gotten to the point that you can't even listen to the game on your favorite hometown radio station via an internet stream so there's not a whole lot this app can or does do for you for free.The NFL says ""you want real live football or even an audio stream? Get out your checkbook and pay ~$100 per month for our ""Red Zone"" or whatever the package is.<soapbox>The fact that people still have brand loyalty to any given team is understandable and I still pull for the perennially dreadful Detroit Lions but it's hard to see past what a pure, capitalistic business it is sometimes. There's nothing wrong with that - that's called playing the game of capitalism as it's meant to be played - but it's not something you would imagine would inspire face-painting.</soapbox>Uninstalled."
security,Still does not work on Amazon Fire,"Still does not work on Amazon Fire. I made the mistake of updating the foxsports app without reading reviews; now it (the foxsports app) will not load any content. It tries, then gives the ""oops there is an error"" with the options to try again or go back. No amount of 'try again' will work.For the skeptics, yes I have tried: signing out then back in again, uninstalling the app (and clearing all data stored), reinstalling and starting over, sign in/activate. Each time the same result.It simply does not work with amazon Fire. It does still work on Apple tv and on my Ipad (same account).So that tells me Amazon is part of the problem here. Or simply remove the app if it does not work."
self direction,"You can download the app, but you can't watch football games","You can download the app, but you can't watch football games. The app downloads immediately, but you can't watch sports unless you have a cable provider.  You only get a few minutes of the app before it asks you to input your cable provider"
security,No 4K,No 4K. 4K does not work.  Perhaps DirectV is blocking it since I don’t have it with my package.  Streaming quality is lousy even though I stream 4K on other services with no issues
security,disappointed,disappointed. i never got to watch any of the sports events i wanted to watch. had stereaming and prime issues that never got reolved.
stimulation,Not as advertised,"Not as advertised. This was supposed to be free and would access the Westminster Kennel Club dog show but every time I tried to see it, it said it wasn't supported through my provider.  Waste of time and big disappointment."
self direction,unable to find and watch NFL game,unable to find and watch NFL game. Was under the impression we could receive all NFL Games on my Firestick/Fox sports  for free.  Very misleading.  Missed the Washington game - Soooooo disappointed
self direction,Did not work with my DirectTV Now,Did not work with my DirectTV Now. Unable to determine what level of programming package is required to get this service if you are using Basic DirectTV Satellite and the streaming app of DirectTV Now. A huge disappoint to find local sporting content.
self direction,Not what I expected,Not what I expected. I didn't realize that the only way to use the app is to have a cable connection in order to view it.  I went to Amazon fire for the purpose of getting rid of cable.  This would also apply to any other apps such as Starz and HBO and others that you can't view unless you have a cable connection.
self direction,Content was blocked after only one user,Content was blocked after only one user. It let me watch one World Cup Game then when I went to look at it again for the 2nd game all content was blocked even though I successfully activated it through my provider Dish. Uninstalled
self direction,Limited,"Limited. It's Hockey season, where's the hockey games? Very limited choices."
security,No Good on Firestick,No Good on Firestick. Charged me $87 for a sporting PPV and never could play it.  Told me they were having problems with it and would refund my money...still waiting
self direction,No go for me,No go for me. This was a no go for me. I have streaming tv only and was not able to use it.. So here I am missing the World series with my home team :-( Still don't really understand why I can't seem to get it...
stimulation,A Waste!,A Waste!. Not what I was looking for. I wanted out of market NFL games and its not happening. So no use
security,Too bad the phone version of this app doesn't include chromecast,"Too bad the phone version of this app doesn't include chromecast. Too bad the phone version of this app doesn't include chromecast, but the Amazon version works generally fine on my Fire Stick. The first game I watched constantly buffered but the last game was fine the whole time. Difficult to tell if it was my network giving issues, but I have fast AC wireless and generous internet bandwidth typically. Pretty simple navigation."
stimulation,Nothing,Nothing. Waste of  time. It doesnt work. Asks for your tv provider.
stimulation,Worthless without a t.v. cable provider,"Worthless without a t.v. cable provider. My friend had recently cut the cord with his cable tv provider, and told me that he was unable to get this app to work.  As I too have recently cut the cable tv cord, I am also unable to use this app.  Why do I need this if I still have cable, or Dish?  Pretty much a worthless waste of time, and application."
stimulation,Waste,Waste. Don't Bother
self direction,don't get what they say,"don't get what they say. Downloaded FOX sports to watch the NFL games yesterday and was never able to access the game.  It is supposedly no charge added to my sling/fire stick account, however I was blocked and not able to see anything on it.  Needs to not show that you have NFL access when you DON'T."
stimulation,I could not get a live stream,I could not get a live stream. Sitting at home with my Wi-Fi at full strength I will still not able to get a live stream even though I have signed into my provider so I immediately removed this particular app from my tablet I didn't see a reason for taking up the space if it wasn't going to work as expected it was unfortunate but unless they were something that I was doing wrong I don't think that I would reinstall it again it just didn't do what I wanted it to do and it was a waste of my time
security,Worst streaming app I have used.,"Worst streaming app I have used.. App buffers way to much. Quite possibly the worst streaming app I use.  Or attempt to use. No other apps on my fire TV have any problems or issues. Between the buffering and airing the same commercials on every commercial break, the app is just horrible."
stimulation,Not What I Expected,Not What I Expected. I didn't like this program as it didn't give me the programming I was expecting. It was a waste of my time.
tradition,Waste,"Waste. In order to use this app you basically need cable.  We have high speed Internet, Netflix and a fire stick but we don’t have traditional cable.  We were unable to watch the vents we wanted.  Total waste"
self direction,Meh,Meh. Unable to find a baseball game
self direction,Very Disappointed!,Very Disappointed!. I can't believe that you would offer an app that requires you to use another TV provider to access!  Really???
security,Fox problems w/ direct TV,"Fox problems w/ direct TV. I am an old guy, took awhile to get this thing figured out, but I did. I could watch the game but the picture quality was very poor."
stimulation,Don’t be fooled,Don’t be fooled. A waste of money
self direction,Very limited sports programs.,Very limited sports programs.. Did not have the live Fox college football game with Nebraska and Oregon.  The Search program is very limited.
stimulation,One Star,One Star. Need to have a service provider. Antenna and streaming folks don't get it. Waste
stimulation,CRAP - Don't bother if your looking for live football,CRAP - Don't bother if your looking for live football. Tried it to get live American Football and that was a waste!  No live football :(
self direction,Can't use,Can't use. We downloaded this app to use on our fire stick. It does not work unless you have a cable provider :(
self direction,Disappointed,Disappointed. Unable to find the game i wanted to see. It would only direct me to local markets.
self direction,wanted to watch football games,wanted to watch football games. was unable to watch the Penn State game
stimulation,One Star,One Star. Waste of time.
stimulation,One Star,One Star. App sucks very disappointed with fire stick don't waste your money buying a firestick
self direction,Access to live sport events,Access to live sport events. Very unsatisfied unable to view world series
self direction,I don't like it,I don't like it. I am unable to watch channel.
stimulation,Didn’t work waste of time,Didn’t work waste of time. Totally disappointed
security,One Star,"One Star. almost no live TV, and highlight doesn't work"
self direction,Very disappointed that we have been unable to watch the Carolina ...,Very disappointed that we have been unable to watch the Carolina .... We were unable to access it.  Very disappointed that we have been unable to watch the Carolina Panthers this year.
self direction,"terrible user interface, unreliable streaming, slow to connect, lower res ""HD""","terrible user interface, unreliable streaming, slow to connect, lower res ""HD"". Boy do I regret believing the reviews on Fubo.  Yes, they have some sports coverage that's hard to get elsewhere.  But it's not worth it.Firstly the user interface is really really bad.  Who designed this thing?  It's clunky, allows very little customization, gives limited information about shows, makes it difficult to change channels, etc. etc.Then you find that it takes some time after you switch to a new channel to get a non-blurry picture.  What?  Are you running this out of your basement, Fubo?And every so often there's an outage.  Unexplained and usually unreported, but there you go, you can't get that stream now.  Has happened to me more than once, and usually right when there was a ""I don't want to miss this"" event.  I've stopped keeping track.Finally, all the so-called HD streams are really at 720p, not 1080p.  There's one ""experimental"" 4K channel, rarely has anything on it.Yeah, I've already cancelled my service, just waiting for the current sub to drain.  (Yes, drain is the right term.)  I'm considering Hulu -- it has most of the channels I want, and works well with Fire boxes. I'll miss the occasional La Liga and Ligue 1 and Serie A matches I was able to catch, but I can't justify Fubo for access to the few games I have time to watch."
security,Unreliable streaming.  Poor customer service.,"Unreliable streaming.  Poor customer service.. Horrible streaming.  Feed kept losing sound, then freezing, then going to a white screen before sending you back to the fubo home screen.  You have to reset the channel every 5-7 mins.I have fast and reliable internet service and no issues with the fire stick.Customer service only offered a partial refund $20/60.00 USD monthly advanced fee  (which could take up to 2 weeks to come back to me) and to close the account.  They said it could take up to 24 hours for a supervisor to call me back.  Unacceptable.Not worth the money."
stimulation,Not as advertised,"Not as advertised. Signed up to get live NFL games, but was only able to access the same game that I can see locally on my cable. Did not give access to other NFL games on at the same time showing in other regions. Waste of time."
security,Kept freezing up,"Kept freezing up. I tried fuboTV for 3 days with their 7 day free trial.  Very disappointed.  It kept freezing up and we had to wait, wait, wait.  Then I unplugged the Amazon Firestick I used for fubo, plugged my cable box back in and the problem went away with my cable service (with no fuboTV service).fuboTV needs a few more years to get its act together."
self direction,Too expensive,"Too expensive. I enjoyed this service, but in less than a year, they're raising the price $10/month for channels that don't interest me. I am ending my subscription this month as the price is more than my DirecTV used to charge me. Very disappointed and unable to get any response over the phone or via email to customer service. If you sign up now, your cost will increase in August by $10."
security,Not worth the cost.,Not worth the cost.. Cost is just too high.  Not a service I would pay for.  Alot of these live t.v. steaming packages have the same problems that caused me to cut the cord.  Channels I don't want are bundled with few I do at a price I'm not willing to pay.
self direction,It's ok,It's ok. Hate the fact you can't watch a channel while you scroll through another channel.  Also unlike youtube tv on your phone you can't watch it while you are multitasking using another app. Only plus it has the MSG channel.
self direction,Pic quality sub par for sports,"Pic quality sub par for sports. Picture quality for sports not good at all. Worse than youtubetv which is poor as well. Picture looks less than 720 for most sporting events. They only have FOX 4K which isn’t enough to get me to sign up at this time. They also don’t have TBS, TNT, and regional FOX sports networks. Expensive and DVR is limited unless you want to pay even more. Will let free trial expire. May look into it in the future if 4K offerings are expanded."
stimulation,SUCH A DISAPPOINTMENT,"SUCH A DISAPPOINTMENT. I did  Free Trial hoping to be able to watch my NFL football team play, since it advertisements say that you can! WRONG! This is not much different than having your regular local TV Channels, UNLESS you want to pay extra for other channels, STILL NO WAY to watch my NFL games!! VERY DISAPPOINTED, CANCELLED FREE TRIAL AN HOUR AFTER SIGNING UP! WASTE OF TIME.."
self direction,Lack of usability,"Lack of usability. It's UI is just laggy & not very intuitive. The mobile app is a little better, plus 30hrs of DVR storage is lame. YouTube TV gives you unlimited DVR recordings for 8 months or so. Also, no ABC/ESPN/Disney family of channels. And it's too damn expensive for what you get & how polished the Smart TV app is."
universalism,Poor picture quality,Poor picture quality. I subscribed to Fubo hoping to see an archived Pac 12 game.  Was not able to do this so decided to watch a movie.  The stream didn't lock up but many times the picture was very blurry.  This was maybe due to our lame internet so I may be unfair in my rating.
security,Expensive.,Expensive.. Only problem to expensive for the same as all the other stremming channels.
self direction,Disappointing,Disappointing. Tried this specifically to watch the Chicago Bears on December 16 and was unable to do so. I cancelled the service.
security,Couldn’t use.,Couldn’t use.. We were at a campground. The wireless was not adequate to support fubo TV. I cancelled it. I was disappointed but not necessarily Fibo’s problem.
stimulation,"WARNING: IT'S A WASTE,  DON'T BUY IT","WARNING: IT'S A WASTE,  DON'T BUY IT. I do not recommend this service because even with a great internet connection, the stream kept cutting out or lagging, plus it was always about 30 seconds later than the live broadcast!! Not happy one bit,  very disappointed. I never give a bad review,  I simply choose to not say nothing at all, however, as a paying customer, I would've wanted to know."
security,Disappointing,Disappointing. We got this to watch football.  Doesn't work most of the time.  Haven't been able to watch a game all the way through due to error messages.  Amazon fire tv.  Disappointing.
self direction,MLB Division Playoffs,MLB Division Playoffs. Viewed a portion of MLB division playoffs. For the 2nd game the viewing was discontinued right after the 7th inning and I was unable to watch the complete (9innings).
stimulation,Boooooo,Boooooo. This ap sucks.  I'm forced to watch Gophers hockey on it whe the waste of space Timberwolves are on FSN.  It's constantly freezing and has a terrible picture half the time.
stimulation,Just a Trial.  Don't waste your time.,Just a Trial.  Don't waste your time.. Hated the trial trick.  You only get am extremely short trial loop. Everything else paid for by a micro transaction process. A waste of time.
stimulation,Not my cup of tea,"Not my cup of tea. Not at all what I expected.  Didn't catch my dogs attention much either. Did trial, didn't like it. And noticed months later I was being charged for it monthly though I didn't know and didn't want it. Wasted a bunch of money on nothing :/"
security,Doesn't work or help at all,"Doesn't work or help at all. don't waste ur time , this app won't help ur Amazon Tablet run smoother or faster.  skip it"
stimulation,Lousy app.,Lousy app.. Waste of time.
